,Open,High,Low,Close,Volume
2025-07-11 11:40:00,308.52,309.0696,308.44,308.685,858824.0
2025-07-11 11:45:00,308.685,308.9297,308.31,308.47,539053.0
2025-07-11 11:50:00,308.47,309.46,308.18,309.11,760957.0
2025-07-11 11:55:00,309.11,309.11,308.635,308.9401,526958.0
2025-07-11 12:00:00,308.96,309.4,308.73,308.91,689226.0
2025-07-11 12:05:00,308.9105,309.1849,308.2201,309.16,643198.0
2025-07-11 12:10:00,309.1799,309.63,308.86,309.415,651211.0
2025-07-11 12:15:00,309.42,310.02,309.2113,309.34,840959.0
2025-07-11 12:20:00,309.34,309.87,309.3,309.645,437563.0
2025-07-11 12:25:00,309.63,309.95,309.4704,309.8501,460100.0
2025-07-11 12:30:00,309.85,310.25,309.8,310.1196,671812.0
2025-07-11 12:35:00,310.1003,310.36,309.75,310.0944,614762.0
2025-07-11 12:40:00,310.095,310.3,309.88,309.95,497817.0
2025-07-11 12:45:00,309.96,310.75,309.91,310.43,639908.0
2025-07-11 12:50:00,310.45,310.94,310.43,310.775,715310.0
2025-07-11 12:55:00,310.778,311.23,310.5501,311.02,841604.0
2025-07-11 13:00:00,311.05,311.1187,310.6107,310.83,533705.0
2025-07-11 13:05:00,310.84,310.91,310.56,310.68,463981.0
2025-07-11 13:10:00,310.68,311.01,310.2,310.8,968654.0
2025-07-11 13:15:00,310.8,311.4,310.785,311.38,645872.0
2025-07-11 13:20:00,311.35,311.57,310.7993,310.89,556749.0
2025-07-11 13:25:00,310.87,311.29,306.5,310.86,425668.0
2025-07-11 13:30:00,310.84,311.06,310.54,310.825,421996.0
2025-07-11 13:35:00,310.81,310.97,310.04,310.27,597589.0
2025-07-11 13:40:00,310.27,310.62,310.02,310.35,484813.0
2025-07-11 13:45:00,310.3508,310.81,306.81,310.78,548797.0
2025-07-11 13:50:00,310.74,310.77,310.13,310.1502,383119.0
2025-07-11 13:55:00,310.165,310.37,309.86,309.91,512412.0
2025-07-11 14:00:00,309.9,310.59,309.88,310.23,525760.0
2025-07-11 14:05:00,310.26,310.93,310.14,310.6813,519024.0
2025-07-11 14:10:00,310.68,311.11,310.54,310.842,456001.0
2025-07-11 14:15:00,310.86,311.42,310.8,311.345,541961.0
2025-07-11 14:20:00,311.3512,312.77,311.35,312.444,1385172.0
2025-07-11 14:25:00,312.44,312.8,311.95,311.96,984001.0
2025-07-11 14:30:00,311.975,312.16,311.45,311.8,784692.0
2025-07-11 14:35:00,311.79,312.19,311.48,311.97,701152.0
2025-07-11 14:40:00,311.94,312.43,311.81,312.17,698047.0
2025-07-11 14:45:00,312.17,312.66,311.89,311.96,645662.0
2025-07-11 14:50:00,311.98,312.12,311.55,311.69,552130.0
2025-07-11 14:55:00,311.7,311.83,311.01,311.3106,770994.0
2025-07-11 15:00:00,311.325,311.78,310.81,310.9969,741503.0
2025-07-11 15:05:00,311.0,311.4,310.3,311.25,965858.0
2025-07-11 15:10:00,311.27,311.97,310.92,311.87,738508.0
2025-07-11 15:15:00,311.8775,313.081,311.76,313.02,1312581.0
2025-07-11 15:20:00,313.02,313.38,312.81,313.24,1438555.0
2025-07-11 15:25:00,313.24,313.429,312.51,312.68,941577.0
2025-07-11 15:30:00,312.63,313.26,312.6206,313.245,816552.0
2025-07-11 15:35:00,313.25,313.9693,312.95,313.675,1302930.0
2025-07-11 15:40:00,313.66,313.69,313.0,313.315,967642.0
2025-07-11 15:45:00,313.3,314.09,313.03,314.02,1227786.0
2025-07-11 15:50:00,313.96,314.0,313.1,313.56,2110859.0
2025-07-11 15:55:00,313.58,313.9699,313.24,313.5,1946268.0
2025-07-11 16:00:00,313.5,313.79,310.3858,313.49,5557871.0
2025-07-11 16:05:00,313.5,313.53,313.33,313.33,62049.0
2025-07-11 16:10:00,313.36,313.51,312.88,312.88,81140.0
2025-07-11 16:15:00,312.9,313.51,312.86,313.09,56302.0
2025-07-11 16:20:00,313.07,313.1592,312.97,312.97,29923.0
2025-07-11 16:25:00,312.985,313.51,312.8,312.8,31200.0
2025-07-11 16:30:00,312.81,313.51,312.72,312.85,41375.0
2025-07-11 16:35:00,312.86,312.88,312.7,312.77,32312.0
2025-07-11 16:40:00,312.77,312.81,312.56,312.64,40303.0
2025-07-11 16:45:00,312.67,313.51,312.6,312.64,21375.0
2025-07-11 16:50:00,312.61,321.9405,296.472,312.79,15983.0
2025-07-11 16:55:00,312.8299,322.16,293.0437,312.67,18372.0
2025-07-11 17:00:00,312.7,314.9734,295.7645,312.6,12846.0
2025-07-11 17:05:00,312.65,316.7142,312.6,312.65,9562.0
2025-07-11 17:10:00,312.69,312.88,312.65,312.8,24443.0
2025-07-11 17:15:00,312.801,312.88,312.79,312.8,15171.0
2025-07-11 17:20:00,312.8,314.9734,312.8,312.81,958275.0
2025-07-11 17:25:00,312.86,312.88,312.8,312.8299,15371.0
2025-07-11 17:30:00,312.83,312.88,294.4427,312.72,11249.0
2025-07-11 17:35:00,312.75,315.9735,312.66,312.7,9401.0
2025-07-11 17:40:00,312.67,319.5897,298.9608,312.665,14933.0
2025-07-11 17:45:00,312.68,312.71,312.53,312.53,15888.0
2025-07-11 17:50:00,312.5399,312.68,312.37,312.55,19973.0
2025-07-11 17:55:00,312.6,312.68,300.3852,312.42,11729.0
2025-07-11 18:00:00,312.42,312.6635,312.41,312.5,9212.0
2025-07-11 18:05:00,312.5,312.55,312.42,312.5005,4117.0
2025-07-11 18:10:00,312.5,312.65,312.48,312.57,5211.0
2025-07-11 18:15:00,312.56,312.7,312.54,312.65,12922.0
2025-07-11 18:20:00,312.67,312.75,312.5,312.6,7119.0
2025-07-11 18:25:00,312.6,312.69,312.48,312.53,7300.0
2025-07-11 18:30:00,312.53,312.6,312.45,312.46,10487.0
2025-07-11 18:35:00,312.46,312.53,312.36,312.36,13225.0
2025-07-11 18:40:00,312.36,312.52,312.3,312.47,18382.0
2025-07-11 18:45:00,312.4512,312.58,312.35,312.5,12022.0
2025-07-11 18:50:00,312.4996,312.58,312.47,312.58,16955.0
2025-07-11 18:55:00,312.58,312.59,312.47,312.535,7865.0
2025-07-11 19:00:00,312.535,312.6,312.48,312.58,5351.0
2025-07-11 19:05:00,312.54,312.72,312.5,312.69,14004.0
2025-07-11 19:10:00,312.695,312.8,312.62,312.6988,9251.0
2025-07-11 19:15:00,312.67,312.6999,312.5,312.63,10231.0
2025-07-11 19:20:00,312.65,312.9,312.64,312.9,14373.0
2025-07-11 19:25:00,312.89,312.9,312.71,312.84,21122.0
2025-07-11 19:30:00,312.87,312.87,312.8,312.86,5046.0
2025-07-11 19:35:00,312.8699,312.88,312.7,312.71,22841.0
2025-07-11 19:40:00,312.74,312.9,312.7,312.83,23944.0
2025-07-11 19:45:00,312.83,312.9,312.72,312.82,9113.0
