Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY250124C00611000,SPY250124C00611000,Buy,Filled,1,1,0.240,0.240,DAY,01/24/2025 11:01:02 EST,01/24/2025 11:01:02 EST
SPY250124C00610000,SPY250124C00610000,Buy,Filled,1,1,0.670,0.670,DAY,01/24/2025 10:37:12 EST,01/24/2025 10:37:12 EST
SPY250124C00610000,SPY250124C00610000,Buy,Filled,1,1,1.26,1.26,DAY,01/24/2025 10:00:26 EST,01/24/2025 10:00:26 EST
SPY250121C00602000,SPY250121C00602000,Sell,Filled,1,1,0.510,0.510,DAY,01/21/2025 11:55:56 EST,01/21/2025 11:55:56 EST
SPY250121C00602000,SPY250121C00602000,Buy,Filled,1,1,0.470,0.470,DAY,01/21/2025 11:36:28 EST,01/21/2025 11:36:28 EST
SPY250117C00600000,SPY250117C00600000,Sell,Filled,1,1,0.300,0.300,DAY,01/17/2025 11:53:33 EST,01/17/2025 11:53:33 EST
SPY250117C00600000,SPY250117C00600000,Sell,Cancelled,0,1,@0.390,,DAY,01/17/2025 11:53:11 EST,
SPY250117C00600000,SPY250117C00600000,Buy,Filled,1,1,0.290,0.290,DAY,01/17/2025 11:06:28 EST,01/17/2025 11:06:28 EST
SPY250116C00593000,SPY250116C00593000,Sell,Cancelled,0,1,@0.820,,DAY,01/16/2025 15:00:23 EST,
SPY250116C00593000,SPY250116C00593000,Sell,Filled,1,1,@0.430,0.430,DAY,01/16/2025 15:00:23 EST,01/16/2025 15:14:11 EST
SPY250116C00593000,SPY250116C00593000,Buy,Filled,1,1,0.430,0.430,DAY,01/16/2025 14:26:46 EST,01/16/2025 14:26:46 EST
SPY250114C00585000,SPY250114C00585000,Sell,Filled,1,1,@0.330,0.330,DAY,01/14/2025 11:28:23 EST,01/14/2025 11:28:45 EST
SPY250114C00585000,SPY250114C00585000,Sell,Cancelled,0,1,@0.440,,DAY,01/14/2025 11:28:23 EST,
SPY250114C00585000,SPY250114C00585000,Buy,Filled,1,1,0.360,0.360,DAY,01/14/2025 11:26:32 EST,01/14/2025 11:26:32 EST
SPY250113C00580000,SPY250113C00580000,Sell,Filled,1,1,0.480,0.480,DAY,01/13/2025 11:46:43 EST,01/13/2025 11:46:43 EST
SPY250113C00580000,SPY250113C00580000,Buy,Filled,1,1,0.990,0.990,DAY,01/13/2025 09:56:37 EST,01/13/2025 09:56:37 EST
SPY250108C00591000,SPY250108C00591000,Sell,Filled,2,2,@0.490,0.490,DAY,01/08/2025 12:13:01 EST,01/08/2025 13:28:06 EST
SPY250108C00591000,SPY250108C00591000,Buy,Filled,2,2,0.650,0.650,DAY,01/08/2025 11:55:39 EST,01/08/2025 11:55:39 EST
SPY250106C00595000,SPY250106C00595000,Sell,Filled,2,2,0.400,0.400,DAY,01/06/2025 14:57:26 EST,01/06/2025 14:57:26 EST
SPY250106C00595000,SPY250106C00595000,Buy,Filled,2,2,1.16,1.16,DAY,01/06/2025 14:16:25 EST,01/06/2025 14:16:25 EST
SPY250103P00587500,SPY250103P00587500,Sell,Filled,1,1,0.690,0.690,DAY,01/03/2025 11:20:11 EST,01/03/2025 11:20:11 EST
SPY250103P00587500,SPY250103P00587500,Buy,Filled,1,1,0.740,0.740,DAY,01/03/2025 11:05:58 EST,01/03/2025 11:05:58 EST
SPY250103P00589000,SPY250103P00589000,Sell,Filled,1,1,@1.14,1.14,DAY,01/03/2025 10:51:18 EST,01/03/2025 11:02:54 EST
SPY250103P00589000,SPY250103P00589000,Sell,Cancelled,0,1,@2.21,,DAY,01/03/2025 10:51:18 EST,
SPY250103P00589000,SPY250103P00589000,Buy,Filled,1,1,1.52,1.52,DAY,01/03/2025 10:46:39 EST,01/03/2025 10:46:39 EST
RGTI250103C00018000,RGTI250103C00018000,Sell,Filled,1,1,0.950,0.950,DAY,01/03/2025 10:41:26 EST,01/03/2025 10:41:26 EST
RGTI250103C00018000,RGTI250103C00018000,Buy,Filled,1,1,1.15,1.15,DAY,01/03/2025 10:40:23 EST,01/03/2025 10:40:23 EST
SPY250102C00587000,SPY250102C00587000,Buy,Filled,1,1,0.320,0.320,DAY,01/02/2025 12:59:24 EST,01/02/2025 12:59:24 EST
SPY250102C00593000,SPY250102C00593000,Sell,Filled,1,1,0.420,0.420,DAY,01/02/2025 10:17:59 EST,01/02/2025 10:17:59 EST
SPY250102C00593000,SPY250102C00593000,Buy,Filled,1,1,0.590,0.590,DAY,01/02/2025 10:15:19 EST,01/02/2025 10:15:19 EST
SPY250102P00584000,SPY250102P00584000,Sell,Filled,2,2,0.190,0.190,DAY,01/02/2025 10:05:53 EST,01/02/2025 10:05:53 EST
SPY250102P00584000,SPY250102P00584000,Buy,Filled,1,1,0.330,0.330,DAY,01/02/2025 09:55:14 EST,01/02/2025 09:55:14 EST
SPY250102P00584000,SPY250102P00584000,Buy,Filled,1,1,0.580,0.580,DAY,01/02/2025 09:50:59 EST,01/02/2025 09:50:59 EST
SPY250102P00588000,SPY250102P00588000,Sell,Filled,1,1,2.71,2.71,DAY,01/02/2025 09:40:32 EST,01/02/2025 09:40:32 EST
SPY250102P00588000,SPY250102P00588000,Buy,Filled,1,1,2.15,2.15,DAY,01/02/2025 09:35:09 EST,01/02/2025 09:35:09 EST
SPY241231P00584000,SPY241231P00584000,Sell,Filled,2,2,0.420,0.420,DAY,12/31/2024 11:09:59 EST,12/31/2024 11:09:59 EST
SPY241231P00584000,SPY241231P00584000,Buy,Filled,2,2,0.550,0.550,DAY,12/31/2024 11:05:12 EST,12/31/2024 11:05:12 EST
TSLA250103C00430000,TSLA250103C00430000,Buy,Filled,1,1,8.55,8.55,DAY,12/31/2024 10:22:21 EST,12/31/2024 10:22:21 EST
SPY241231P00588000,SPY241231P00588000,Sell,Filled,1,1,1.35,1.35,DAY,12/31/2024 09:55:50 EST,12/31/2024 09:55:50 EST
SPY241231P00588000,SPY241231P00588000,Sell,Filled,1,1,1.46,1.46,DAY,12/31/2024 09:51:49 EST,12/31/2024 09:51:50 EST
SPY241231P00588000,SPY241231P00588000,Buy,Filled,2,2,1.70,1.70,DAY,12/31/2024 09:40:42 EST,12/31/2024 09:40:42 EST
SPY241230P00590000,SPY241230P00590000,Sell,Filled,1,1,@0.560,0.560,DAY,12/30/2024 13:02:24 EST,12/30/2024 13:14:22 EST
SPY241230P00590000,SPY241230P00590000,Sell,Cancelled,0,1,@1.72,,DAY,12/30/2024 13:02:24 EST,
SPY241230P00590000,SPY241230P00590000,Buy,Filled,1,1,0.960,0.960,DAY,12/30/2024 13:02:15 EST,12/30/2024 13:02:15 EST
SPY241230C00590000,SPY241230C00590000,Sell,Filled,2,2,1.54,1.54,DAY,12/30/2024 12:35:45 EST,12/30/2024 12:35:45 EST
SPY241230C00590000,SPY241230C00590000,Sell,Cancelled,0,2,1.22,,DAY,12/30/2024 12:24:06 EST,
SPY241230C00590000,SPY241230C00590000,Sell,Cancelled,0,2,@1.69,,DAY,12/30/2024 12:24:06 EST,
SPY241230C00590000,SPY241230C00590000,Buy,Filled,2,2,1.18,1.18,DAY,12/30/2024 12:01:48 EST,12/30/2024 12:01:48 EST
SPY241230C00588000,SPY241230C00588000,Sell,Filled,2,2,1.73,1.73,DAY,12/30/2024 11:51:40 EST,12/30/2024 11:51:40 EST
SPY241230C00588000,SPY241230C00588000,Buy,Filled,2,2,1.61,1.61,DAY,12/30/2024 11:50:31 EST,12/30/2024 11:50:31 EST
SPY241230C00590000,SPY241230C00590000,Sell,Filled,1,1,0.690,0.690,DAY,12/30/2024 11:48:27 EST,12/30/2024 11:48:27 EST
SPY241230C00590000,SPY241230C00590000,Sell,Filled,1,1,1.09,1.09,DAY,12/30/2024 11:44:42 EST,12/30/2024 11:44:42 EST
