Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
SPY250124C00611000_158,SPY250124C00611000_158,Buy,Filled,1,1,0.24,0.24,DAY,01/24/2025 11:01:02 EST,01/24/2025 11:01:02 EST
SPY250124C00610000_783,SPY250124C00610000_783,Buy,Filled,1,1,0.67,0.67,DAY,01/24/2025 10:37:12 EST,01/24/2025 10:37:12 EST
SPY250124C00610000_392,SPY250124C00610000_392,Buy,Filled,1,1,1.26,1.26,DAY,01/24/2025 10:00:26 EST,01/24/2025 10:00:26 EST
SPY250121C00602000_555,SPY250121C00602000_555,Sell,Filled,1,1,0.51,0.51,DAY,01/21/2025 11:55:56 EST,01/21/2025 11:55:56 EST
SPY250121C00602000_535,SPY250121C00602000_535,Buy,Filled,1,1,0.47,0.47,DAY,01/21/2025 11:36:28 EST,01/21/2025 11:36:28 EST
SPY250117C00600000_953,SPY250117C00600000_953,Sell,Filled,1,1,0.3,0.3,DAY,01/17/2025 11:53:33 EST,01/17/2025 11:53:33 EST
SPY250117C00600000_316,SPY250117C00600000_316,Sell,Cancelled,0,1,0.39,,DAY,01/17/2025 11:53:11 EST,
SPY250117C00600000_187,SPY250117C00600000_187,Buy,Filled,1,1,0.29,0.29,DAY,01/17/2025 11:06:28 EST,01/17/2025 11:06:28 EST
SPY250116C00593000_328,SPY250116C00593000_328,Sell,Cancelled,0,1,0.82,,DAY,01/16/2025 15:00:23 EST,
SPY250116C00593000_882,SPY250116C00593000_882,Sell,Filled,1,1,0.43,0.43,DAY,01/16/2025 15:00:23 EST,01/16/2025 15:14:11 EST
SPY250116C00593000_550,SPY250116C00593000_550,Buy,Filled,1,1,0.43,0.43,DAY,01/16/2025 14:26:46 EST,01/16/2025 14:26:46 EST
SPY250114C00585000_364,SPY250114C00585000_364,Sell,Filled,1,1,0.33,0.33,DAY,01/14/2025 11:28:23 EST,01/14/2025 11:28:45 EST
SPY250114C00585000_198,SPY250114C00585000_198,Sell,Cancelled,0,1,0.44,,DAY,01/14/2025 11:28:23 EST,
SPY250114C00585000_576,SPY250114C00585000_576,Buy,Filled,1,1,0.36,0.36,DAY,01/14/2025 11:26:32 EST,01/14/2025 11:26:32 EST
SPY250113C00580000_362,SPY250113C00580000_362,Sell,Filled,1,1,0.48,0.48,DAY,01/13/2025 11:46:43 EST,01/13/2025 11:46:43 EST
SPY250113C00580000_908,SPY250113C00580000_908,Buy,Filled,1,1,0.99,0.99,DAY,01/13/2025 09:56:37 EST,01/13/2025 09:56:37 EST
SPY250108C00591000_321,SPY250108C00591000_321,Sell,Filled,2,2,0.49,0.49,DAY,01/08/2025 12:13:01 EST,01/08/2025 13:28:06 EST
SPY250108C00591000_370,SPY250108C00591000_370,Buy,Filled,2,2,0.65,0.65,DAY,01/08/2025 11:55:39 EST,01/08/2025 11:55:39 EST
SPY250106C00595000_796,SPY250106C00595000_796,Sell,Filled,2,2,0.4,0.4,DAY,01/06/2025 14:57:26 EST,01/06/2025 14:57:26 EST
SPY250106C00595000_996,SPY250106C00595000_996,Buy,Filled,2,2,1.16,1.16,DAY,01/06/2025 14:16:25 EST,01/06/2025 14:16:25 EST
SPY250103P00587500_794,SPY250103P00587500_794,Sell,Filled,1,1,0.69,0.69,DAY,01/03/2025 11:20:11 EST,01/03/2025 11:20:11 EST
SPY250103P00587500_546,SPY250103P00587500_546,Buy,Filled,1,1,0.74,0.74,DAY,01/03/2025 11:05:58 EST,01/03/2025 11:05:58 EST
SPY250103P00589000_713,SPY250103P00589000_713,Sell,Filled,1,1,1.14,1.14,DAY,01/03/2025 10:51:18 EST,01/03/2025 11:02:54 EST
SPY250103P00589000_948,SPY250103P00589000_948,Sell,Cancelled,0,1,2.21,,DAY,01/03/2025 10:51:18 EST,
SPY250103P00589000_510,SPY250103P00589000_510,Buy,Filled,1,1,1.52,1.52,DAY,01/03/2025 10:46:39 EST,01/03/2025 10:46:39 EST
RGTI250103C00018000_444,RGTI250103C00018000_444,Sell,Filled,1,1,0.95,0.95,DAY,01/03/2025 10:41:26 EST,01/03/2025 10:41:26 EST
RGTI250103C00018000_453,RGTI250103C00018000_453,Buy,Filled,1,1,1.15,1.15,DAY,01/03/2025 10:40:23 EST,01/03/2025 10:40:23 EST
SPY250102C00587000_704,SPY250102C00587000_704,Buy,Filled,1,1,0.32,0.32,DAY,01/02/2025 12:59:24 EST,01/02/2025 12:59:24 EST
SPY250102C00593000_702,SPY250102C00593000_702,Sell,Filled,1,1,0.42,0.42,DAY,01/02/2025 10:17:59 EST,01/02/2025 10:17:59 EST
SPY250102C00593000_988,SPY250102C00593000_988,Buy,Filled,1,1,0.59,0.59,DAY,01/02/2025 10:15:19 EST,01/02/2025 10:15:19 EST
SPY250102P00584000_882,SPY250102P00584000_882,Sell,Filled,2,2,0.19,0.19,DAY,01/02/2025 10:05:53 EST,01/02/2025 10:05:53 EST
SPY250102P00584000_258,SPY250102P00584000_258,Buy,Filled,1,1,0.33,0.33,DAY,01/02/2025 09:55:14 EST,01/02/2025 09:55:14 EST
SPY250102P00584000_412,SPY250102P00584000_412,Buy,Filled,1,1,0.58,0.58,DAY,01/02/2025 09:50:59 EST,01/02/2025 09:50:59 EST
SPY250102P00588000_464,SPY250102P00588000_464,Sell,Filled,1,1,2.71,2.71,DAY,01/02/2025 09:40:32 EST,01/02/2025 09:40:32 EST
SPY250102P00588000_631,SPY250102P00588000_631,Buy,Filled,1,1,2.15,2.15,DAY,01/02/2025 09:35:09 EST,01/02/2025 09:35:09 EST
SPY241231P00584000_312,SPY241231P00584000_312,Sell,Filled,2,2,0.42,0.42,DAY,12/31/2024 11:09:59 EST,12/31/2024 11:09:59 EST
SPY241231P00584000_991,SPY241231P00584000_991,Buy,Filled,2,2,0.55,0.55,DAY,12/31/2024 11:05:12 EST,12/31/2024 11:05:12 EST
TSLA250103C00430000_200,TSLA250103C00430000_200,Buy,Filled,1,1,8.55,8.55,DAY,12/31/2024 10:22:21 EST,12/31/2024 10:22:21 EST
SPY241231P00588000_700,SPY241231P00588000_700,Sell,Filled,1,1,1.35,1.35,DAY,12/31/2024 09:55:50 EST,12/31/2024 09:55:50 EST
SPY241231P00588000_905,SPY241231P00588000_905,Sell,Filled,1,1,1.46,1.46,DAY,12/31/2024 09:51:49 EST,12/31/2024 09:51:50 EST
SPY241231P00588000_402,SPY241231P00588000_402,Buy,Filled,2,2,1.7,1.7,DAY,12/31/2024 09:40:42 EST,12/31/2024 09:40:42 EST
SPY241230P00590000_725,SPY241230P00590000_725,Sell,Filled,1,1,0.56,0.56,DAY,12/30/2024 13:02:24 EST,12/30/2024 13:14:22 EST
SPY241230P00590000_919,SPY241230P00590000_919,Sell,Cancelled,0,1,1.72,,DAY,12/30/2024 13:02:24 EST,
SPY241230P00590000_566,SPY241230P00590000_566,Buy,Filled,1,1,0.96,0.96,DAY,12/30/2024 13:02:15 EST,12/30/2024 13:02:15 EST
SPY241230C00590000_406,SPY241230C00590000_406,Sell,Filled,2,2,1.54,1.54,DAY,12/30/2024 12:35:45 EST,12/30/2024 12:35:45 EST
