trade_date,symbol,side,strategy,entry_price,exit_price,stop_loss,take_profit,quantity,pnl,rr_ratio,max_drawdown,time_in_trade_min
2025-01-03,RGTI250103C00018000,Buy,Day,1.15,0.95,1.09,1.26,1,-0.2,-3.48,0.02,1.1
2024-05-13,SPY240513P00519000,Buy,Day,0.18,0.06,0.17,0.2,1,-0.12,-13.33,0.0,206.0
2024-05-20,SPY240520C00533000,Buy,Day,0.12,0.1,0.11,0.13,1,-0.02,-3.33,0.0,1.8
2024-05-23,SPY240523P00528000,Buy,Day,0.65,0.44,0.62,0.72,1,-0.21,-6.46,0.01,2.2
2024-05-23,SPY240523P00530000,Buy,Day,0.83,1.33,0.79,0.91,1,0.5,12.05,0.02,4.0
2024-05-24,SPY240524C00529000,Buy,Day,0.6,0.4,0.57,0.66,2,-0.4,-6.67,0.01,19.0
2024-05-24,SPY240524C00531000,Buy,Day,0.29,0.19,0.28,0.32,1,-0.1,-6.9,0.01,8.4
2024-05-24,SPY240524P00527000,Buy,Day,0.23,0.12,0.22,0.25,10,-1.1,-9.57,0.0,34.7
2024-05-24,SPY240524P00529000,Buy,Day,0.76,0.39,0.72,0.84,4,-1.48,-9.74,0.02,19.8
2024-05-30,SPY240531P00523000,Buy,Day,0.91,1.11,0.86,1.0,1,0.2,4.4,0.02,24.9
2024-06-17,SPY240617C00546000,Buy,Day,1.71,2.01,1.62,1.88,5,1.5,3.51,0.03,2.6
2024-06-17,SPY240617C00547000,Buy,Day,0.45,0.69,0.43,0.5,1,0.24,10.67,0.01,4.2
2024-06-18,SPY240618C00547000,Buy,Day,1.09,0.94,1.04,1.2,1,-0.15,-2.75,0.02,2.4
2024-06-18,SPY240618C00548000,Buy,Day,1.02,0.79,0.97,1.12,1,-0.23,-4.51,0.02,19.8
2024-06-18,SPY240618P00547000,Buy,Day,0.5,0.21,0.48,0.55,10,-2.9,-11.6,0.01,84.6
2024-06-20,SPY240620C00546000,Buy,Day,1.42,1.23,1.35,1.56,5,-0.95,-2.68,0.03,1.3
2024-06-24,SPY240624P00542000,Buy,Day,0.4,0.31,0.38,0.44,1,-0.09,-4.5,0.01,1.1
2024-06-25,SPY240625C00543000,Buy,Day,0.72,1.09,0.68,0.79,1,0.37,10.28,0.01,34.6
2024-06-26,SPY240626C00543000,Buy,Day,2.05,1.66,1.95,2.26,1,-0.39,-3.8,0.04,5.8
2024-06-26,SPY240626C00544000,Buy,Day,1.39,1.1,1.32,1.53,1,-0.29,-4.17,0.03,3.5
2024-06-26,SPY240626C00545000,Buy,Day,0.85,0.67,0.81,0.94,1,-0.18,-4.24,0.02,10.9
2024-06-26,SPY240626P00544000,Buy,Day,0.52,0.47,0.49,0.57,2,-0.1,-1.92,0.01,7.7
2024-06-27,SPY240627C00545000,Buy,Day,0.95,1.13,0.9,1.04,1,0.18,3.79,0.02,15.9
2024-06-27,SPY240627C00546000,Buy,Day,0.58,0.65,0.55,0.64,1,0.07,2.41,0.01,10.7
2024-06-28,SPY240628C00546000,Buy,Day,1.09,0.95,1.04,1.2,1,-0.14,-2.57,0.02,0.9
2024-06-28,SPY240628C00547000,Buy,Day,0.64,0.49,0.61,0.7,1,-0.15,-4.69,0.01,48.3
2024-06-28,SPY240628P00547000,Buy,Day,0.96,1.0,0.91,1.06,1,0.04,0.83,0.02,1.2
2024-07-01,SPY240701P00545000,Buy,Day,0.73,0.89,0.69,0.8,1,0.16,4.38,0.01,16.8
2024-07-02,SPY240702C00548000,Buy,Day,0.27,0.27,0.26,0.3,1,0.0,0.0,0.01,11.2
