symbol,entry_price,exit_price,pnl,rr_ratio,time_in_trade_min,cluster
RGTI250103C00018000,1.15,0.95,-0.2,-3.48,1.1,0
SPY240513P00519000,0.18,0.06,-0.12,-13.33,206.0,0
SPY240520C00533000,0.12,0.1,-0.02,-3.33,1.8,0
SPY240523P00528000,0.65,0.44,-0.21,-6.46,2.2,0
SPY240523P00530000,0.83,1.33,0.5,12.05,4.0,0
SPY240524C00529000,0.6,0.4,-0.4,-6.67,19.0,0
SPY240524C00531000,0.29,0.19,-0.1,-6.9,8.4,0
SPY240524P00527000,0.23,0.12,-1.1,-9.57,34.7,0
SPY240524P00529000,0.76,0.39,-1.48,-9.74,19.8,0
SPY240531P00523000,0.91,1.11,0.2,4.4,24.9,0
SPY240617C00546000,1.71,2.01,1.5,3.51,2.6,0
SPY240617C00547000,0.45,0.69,0.24,10.67,4.2,0
SPY240618C00547000,1.09,0.94,-0.15,-2.75,2.4,0
SPY240618C00548000,1.02,0.79,-0.23,-4.51,19.8,0
SPY240618P00547000,0.5,0.21,-2.9,-11.6,84.6,0
SPY240620C00546000,1.42,1.23,-0.95,-2.68,1.3,0
SPY240624P00542000,0.4,0.31,-0.09,-4.5,1.1,0
SPY240625C00543000,0.72,1.09,0.37,10.28,34.6,0
SPY240626C00543000,2.05,1.66,-0.39,-3.8,5.8,0
SPY240626C00544000,1.39,1.1,-0.29,-4.17,3.5,0
SPY240626C00545000,0.85,0.67,-0.18,-4.24,10.9,0
SPY240626P00544000,0.52,0.47,-0.1,-1.92,7.7,0
SPY240627C00545000,0.95,1.13,0.18,3.79,15.9,0
SPY240627C00546000,0.58,0.65,0.07,2.41,10.7,0
SPY240628C00546000,1.09,0.95,-0.14,-2.57,0.9,0
SPY240628C00547000,0.64,0.49,-0.15,-4.69,48.3,0
SPY240628P00547000,0.96,1.0,0.04,0.83,1.2,0
SPY240701P00545000,0.73,0.89,0.16,4.38,16.8,0
SPY240702C00548000,0.27,0.27,0.0,0.0,11.2,0
SPY240709C00556000,0.75,0.97,0.22,5.87,24.6,0
SPY240709P00556000,0.82,0.65,-0.17,-4.15,5.8,0
SPY240710C00557000,0.85,1.01,0.16,3.76,7.0,0
SPY240710C00558000,1.54,1.85,0.31,4.03,7.3,0
SPY240710C00559000,0.92,0.9,-0.02,-0.43,6.8,0
SPY240711C00559000,1.75,1.53,-0.22,-2.51,8.7,0
SPY240711P00558000,1.17,1.32,0.15,2.56,0.7,0
SPY240711P00560000,1.56,1.84,0.28,3.59,15.1,0
SPY240711P00561000,2.04,2.13,0.09,0.88,2.6,0
SPY240712C00559000,1.11,1.28,0.17,3.06,6.8,0
SPY240712C00560000,1.26,1.43,0.17,2.7,5.8,0
SPY240712P00562000,1.69,1.43,-0.26,-3.08,0.8,0
SPY240718C00559000,1.36,1.24,-0.24,-1.76,1.2,0
SPY240718P00558000,1.21,0.75,-0.46,-7.6,8.9,0
SPY240723C00558000,0.56,0.49,-0.07,-2.5,5.1,0
SPY240724C00544000,0.92,0.78,-0.14,-3.04,5.3,0
SPY240725P00538000,2.06,1.58,-0.48,-4.66,1.7,0
SPY240725P00539000,2.16,2.4,0.24,2.22,3.4,0
SPY240730C00541000,2.19,2.23,0.04,0.37,19.1,0
SPY240730P00546000,1.58,1.91,0.33,4.18,11.5,0
SPY240731C00551000,1.68,1.76,0.08,0.95,39.4,0
SPY240801C00553000,2.65,2.81,0.16,1.21,1.0,0
SPY240801P00553000,1.93,2.29,0.36,3.73,1.4,0
SPY240802P00523000,0.77,0.66,-0.11,-2.86,0.6,0
SPY240802P00533000,2.54,3.41,0.87,6.85,4.7,0
SPY240805P00513000,2.57,2.27,-0.3,-2.33,3.4,0
SPY240805P00516000,3.3,3.24,-0.06,-0.36,2.0,0
SPY240806P00521000,1.96,1.39,-0.57,-5.82,6.0,0
SPY240807C00529000,2.75,3.56,0.81,5.89,18.1,0
SPY240808C00524000,3.43,3.43,0.0,0.0,6.5,0
SPY240809P00530000,2.29,1.89,-1.2,-3.49,14.3,0
SPY240813C00537000,1.87,1.98,0.11,1.18,1.1,0
SPY240813C00540000,1.12,1.69,0.57,10.18,11.2,0
SPY240813P00537000,1.63,1.36,-0.27,-3.31,6.2,0
SPY240903P00556000,1.49,1.69,0.2,2.68,6.9,0
SPY240903P00557000,1.46,1.61,0.3,2.05,1.8,0
SPY240904P00552000,2.5,2.71,0.21,1.68,0.6,0
SPY240916P00562000,1.16,1.54,0.38,6.55,5.3,0
SPY240918P00560000,1.99,1.82,-0.17,-1.71,8.4,0
SPY240918P00562000,2.85,2.7,-0.3,-1.05,2.1,0
SPY240924C00568000,1.7,1.06,-1.28,-7.53,12.1,0
SPY240924P00568000,0.95,0.9,-0.05,-1.05,0.2,0
SPY240924P00569000,0.97,1.18,0.42,4.33,0.4,0
SPY241209P00608000,1.23,1.76,0.53,8.62,4017.6,1
SPY241211C00603000,3.52,3.99,0.47,2.67,20.2,0
SPY241213C00603000,1.3,1.66,0.36,5.54,18.6,0
SPY241213P00607000,0.94,1.2,0.26,5.53,5.1,0
SPY241216C00606000,1.15,0.92,-0.46,-4.0,13.2,0
SPY241220C00588000,3.34,6.45,3.11,18.62,1522.0,2
SPY241220C00593000,2.15,0.96,-1.19,-11.07,1124.5,2
SPY241226C00600000,1.65,1.94,0.29,3.52,31.9,0
SPY241226P00601000,0.61,0.98,0.37,12.13,2.1,0
SPY241227P00595000,0.79,2.63,1.84,46.58,43.8,0
SPY241230C00588000,1.61,1.73,0.24,1.49,1.1,0
SPY241230C00590000,1.18,1.54,0.72,6.1,34.0,0
SPY241230P00583000,0.95,1.04,0.18,1.89,27.9,0
SPY241230P00590000,0.96,0.56,-0.4,-8.33,12.1,0
SPY241231P00584000,0.55,0.42,-0.26,-4.73,4.8,0
SPY241231P00588000,1.7,1.35,-0.35,-4.12,15.1,0
SPY250102C00593000,0.59,0.42,-0.17,-5.76,2.7,0
SPY250102P00584000,0.33,0.19,-0.14,-8.48,10.7,0
SPY250102P00588000,2.15,2.71,0.56,5.21,5.4,0
SPY250103P00587500,0.74,0.69,-0.05,-1.35,14.2,0
SPY250103P00589000,1.52,1.14,-0.38,-5.0,16.2,0
SPY250106C00595000,1.16,0.4,-1.52,-13.1,41.0,0
SPY250108C00591000,0.65,0.49,-0.32,-4.92,92.5,0
SPY250113C00580000,0.99,0.48,-0.51,-10.3,110.1,0
SPY250114C00585000,0.36,0.33,-0.03,-1.67,2.2,0
SPY250117C00600000,0.29,0.3,0.01,0.69,47.1,0
SPY250121C00602000,0.47,0.51,0.04,1.7,19.5,0
TSLA240712P00250000,4.0,3.25,-0.75,-3.75,4.2,0
TSLA241220C00497500,5.21,5.25,0.04,0.15,66.8,0
